"id","codigo","id_cliente","id_vendedor","id_tienda","productos","impuesto","neto","total","descuento","costos","metodo_pago","codigo_metodo_pago","deuda","fecha","fecha_mod","pago_bono","factura_valida","fc"
"10","123400001","3","6","1","[{""id"":""6"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""10"",""precio"":""179900"",""total"":""179900""},{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""40"",""precio"":""179900"",""total"":""179900""},{""id"":""9"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""2"",""precio"":""179900"",""total"":""179900""}]","102543","539700","642243","0","270000","TC-65454124984651",,"0","2021-08-24 03:00:27","2021-08-24 03:00:27","0","0","0"
"11","123400002","3","1","1","[{""id"":""18"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""4"",""precio"":""179900"",""total"":""179900""},{""id"":""9"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""1"",""precio"":""179900"",""total"":""179900""},{""id"":""12"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""6"",""precio"":""179900"",""total"":""179900""}]","102543","539700","642243","0","270000","TD-65454124984651",,"0","2021-08-24 03:01:04","2021-08-24 03:01:04","0","0","0"
"12","123400003","3","6","1","[{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""39"",""precio"":""179900"",""total"":""179900""},{""id"":""6"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""9"",""precio"":""179900"",""total"":""179900""}]","68362","359800","428162","0","180000","TC-65454124984651",,"0","2021-08-24 03:02:57","2021-08-24 03:02:57","0","0","0"
"13","123400004","3","6","1","[{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""3"",""stock"":""37"",""precio"":""179900"",""total"":""539700""}]","102543","539700","642243","0","0","Efectivo",,"0","2021-08-28 14:32:02","2021-08-28 14:32:02","0","0","0"
"14","123400005","3","8","1","[{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""2"",""stock"":""35"",""precio"":""179900"",""total"":""359800""},{""id"":""6"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""2"",""stock"":""10"",""precio"":""179900"",""total"":""359800""}]","136724","719600","856324","0","0","Efectivo",,"0","2021-08-28 15:03:59","2021-08-28 15:03:59","0","0","0"
"15","123400006","3","6","1","[{""id"":""6"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""9"",""precio"":""179900"",""total"":""179900""},{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""38"",""precio"":""179900"",""total"":""179900""}]","61525.8","262294","323820","0","180000","TC-TC-123156423165",,"0","2021-09-11 02:04:05","2021-09-11 02:04:05","0","0","0"
"16","987600001","1","9","2","[{""id"":""6"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""2"",""stock"":""14"",""precio"":""179900"",""total"":""359800""},{""id"":""3"",""descripcion"":""Vestido Lino Diseño"",""cantidad"":""1"",""stock"":""29"",""precio"":""179900"",""total"":""179900""}]","97415.9","415299","512715","0","270000","Efectivo",,"0","2021-09-11 02:09:11","2021-09-11 02:09:11","0","0","0"
"17","123400007","3","1","1","[{""id"":""190"",""descripcion"":""camisa shan 152"",""cantidad"":""3"",""stock"":""0"",""precio"":""79900"",""total"":""239700""}]","40988.7","174741","215730","0","112500","Efectivo",,"0","2021-09-15 13:52:17","2021-09-15 13:52:17","0","0","0"
"18","123400001","3","6","1","[{""id"":""322"",""descripcion"":""Vestido Lino Clasico"",""cantidad"":""1"",""stock"":""4"",""precio"":""169900"",""total"":""169900""},{""id"":""360"",""descripcion"":""Vestido Satinado"",""cantidad"":""1"",""stock"":""4"",""precio"":""269900"",""total"":""269900""}]","63198","332622","395820","10","220000","Efectivo","0","0","2021-10-15 12:48:06","2021-10-15 12:48:06","0","1","0"
"19","990000052","3","6","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""1"",""stock"":""4"",""precio"":""39900"",""total"":""39900""}]","6052","31853","37905","5","20000","Efectivo",,"0","2021-10-15 13:56:45","2021-10-15 13:59:15","0","1","1"
"20","990000053","1","6","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""2"",""stock"":""3"",""precio"":""39900"",""total"":""79800""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""4"",""precio"":""199900"",""total"":""199900""}]","40192","211538","251730","10","155000","Efectivo",,"0","2021-10-15 14:01:15","2021-10-15 14:01:19","0","0","1"
"21","990000053","3","6","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""2"",""stock"":""3"",""precio"":""39900"",""total"":""79800""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""4"",""precio"":""199900"",""total"":""199900""}]","40192","211538","251730","10","155000","Efectivo",,"0","2021-10-15 14:01:59","2021-10-15 14:12:07","0","1","1"
"22","990000054","3","6","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""1"",""stock"":""4"",""precio"":""39900"",""total"":""39900""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""4"",""precio"":""199900"",""total"":""199900""}]","34459","181361","215820","10","135000","Efectivo",,"0","2021-10-15 14:12:48","2021-10-15 14:12:48","0","1","1"
"23","990000000","1","23","2","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""1"",""stock"":""4"",""precio"":""39900"",""total"":""39900""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""4"",""precio"":""199900"",""total"":""199900""}]","32544","171286","203830","15","135000","Efectivo",,"0","2021-10-15 14:26:29","2021-10-19 13:09:16","0","1","0"
"24","990000055","3","1","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""1"",""stock"":""3"",""precio"":""39900"",""total"":""39900""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""3"",""precio"":""199900"",""total"":""199900""},{""id"":""189"",""descripcion"":""camisa shan 150"",""cantidad"":""1"",""stock"":""4"",""precio"":""79900"",""total"":""79900""}]","48492","255223","303715","5","172500","Efectivo","0","0","2021-10-15 14:55:43","2021-10-15 14:55:43","0","1","0"
"25","990000055","6","1","1","[{""id"":""258"",""descripcion"":""Cinturon"",""cantidad"":""1"",""stock"":""2"",""precio"":""39900"",""total"":""39900""},{""id"":""392"",""descripcion"":""Vestido Ripol"",""cantidad"":""1"",""stock"":""2"",""precio"":""199900"",""total"":""199900""},{""id"":""322"",""descripcion"":""Vestido Lino Clasico"",""cantidad"":""1"",""stock"":""3"",""precio"":""169900"",""total"":""169900""},{""id"":""360"",""descripcion"":""Vestido Satinado"",""cantidad"":""1"",""stock"":""3"",""precio"":""269900"",""total"":""269900""}]","108508","571092","679600","0","355000","TD","0","0","2021-10-15 15:02:03","2021-10-15 15:02:03","0","1","0"
"26","990000055","3","1","1","[{""id"":""300"",""descripcion"":""Jeans"",""cantidad"":""2"",""stock"":""3"",""precio"":""89900"",""total"":""179800""}]","28708","151092","179800","0","90000","Efectivo","0","0","2021-10-15 15:08:02","2021-10-15 15:08:02","3","1","0"
